id	RoadID	x	y	longtitude	latitude	gxid	gyid	RecePower
0	0	667987	3545330	 	 	 	 	 
1	0	667982	3545331.6	 	 	 	 	 
2	0	667977	3545333.2	 	 	 	 	 
3	0	667972	3545334.8	 	 	 	 	 
4	0	667967	3545336.3	 	 	 	 	 
5	0	667962	3545337.9	 	 	 	 	 
6	0	667957	3545339.5	 	 	 	 	 
7	0	667952	3545341.1	 	 	 	 	 
8	0	667947	3545342.7	 	 	 	 	 
9	0	667942	3545344.3	 	 	 	 	 
10	0	667937	3545345.9	 	 	 	 	 
11	0	667932	3545347.4	 	 	 	 	 
12	0	667927	3545349	 	 	 	 	 
13	0	667922	3545350.6	 	 	 	 	 
14	0	667917	3545352.2	 	 	 	 	 
15	0	667912	3545353.8	 	 	 	 	 
16	0	667907	3545355.4	 	 	 	 	 
17	0	667902	3545357	 	 	 	 	 
18	0	667897	3545358.5	 	 	 	 	 
19	0	667892	3545360.1	 	 	 	 	 
20	0	667887	3545361.7	 	 	 	 	 
21	0	667882	3545363.3	 	 	 	 	 
22	0	667877	3545364.9	 	 	 	 	 
23	0	667872	3545366.5	 	 	 	 	 
24	0	667867	3545368.1	 	 	 	 	 
25	0	667862	3545369.6	 	 	 	 	 
26	0	667857	3545371.2	 	 	 	 	 
27	0	667852	3545372.8	 	 	 	 	 
28	0	667847	3545374.4	 	 	 	 	 
29	0	667842	3545376	 	 	 	 	 
30	0	667837	3545377.6	 	 	 	 	 
31	0	667832	3545379.2	 	 	 	 	 
32	0	667827	3545380.7	 	 	 	 	 
33	0	667822	3545382.3	 	 	 	 	 
34	0	667817	3545383.9	 	 	 	 	 
35	0	667812	3545385.5	 	 	 	 	 
36	0	667807	3545387.1	 	 	 	 	 
37	0	667802	3545388.7	 	 	 	 	 
38	0	667797	3545390.3	 	 	 	 	 
39	0	667792	3545391.8	 	 	 	 	 
40	0	667787	3545393.4	 	 	 	 	 
41	0	667782	3545395	 	 	 	 	 
42	0	667777	3545396.6	 	 	 	 	 
43	0	667772	3545398.2	 	 	 	 	 
44	0	667767	3545399.8	 	 	 	 	 
45	0	667762	3545401.4	 	 	 	 	 
46	0	667757	3545402.9	 	 	 	 	 
47	0	667752	3545404.5	 	 	 	 	 
48	0	667747	3545406.1	 	 	 	 	 
49	0	667742	3545407.7	 	 	 	 	 
50	0	667737	3545409.3	 	 	 	 	 
51	0	667732	3545410.9	 	 	 	 	 
52	0	667727	3545412.5	 	 	 	 	 
53	0	667722	3545414	 	 	 	 	 
54	0	667717	3545415.6	 	 	 	 	 
55	0	667712	3545417.2	 	 	 	 	 
56	0	667707	3545418.8	 	 	 	 	 
57	0	667702	3545420.4	 	 	 	 	 
58	0	667697	3545422	 	 	 	 	 
59	0	667692	3545423.6	 	 	 	 	 
60	0	667687	3545425.1	 	 	 	 	 
61	0	667682	3545426.7	 	 	 	 	 
62	0	667677	3545428.3	 	 	 	 	 
63	0	667672	3545429.9	 	 	 	 	 
64	0	667667	3545431.5	 	 	 	 	 
65	0	667662	3545433.1	 	 	 	 	 
66	0	667657	3545434.7	 	 	 	 	 
67	0	667652	3545436.2	 	 	 	 	 
68	0	667647	3545437.8	 	 	 	 	 
69	0	667642	3545439.4	 	 	 	 	 
70	0	667637	3545441	 	 	 	 	 
71	0	667632	3545442.6	 	 	 	 	 
72	0	667627	3545444.2	 	 	 	 	 
73	0	667622	3545445.8	 	 	 	 	 
74	0	667617	3545447.3	 	 	 	 	 
75	0	667612	3545448.9	 	 	 	 	 
76	0	667607	3545450.5	 	 	 	 	 
77	0	667602	3545452.1	 	 	 	 	 
78	0	667597	3545453.7	 	 	 	 	 
79	0	667596	3545454	 	 	 	 	 
80	0	667591	3545456.5	 	 	 	 	 
81	0	667586	3545459	 	 	 	 	 
82	0	667581	3545461.6	 	 	 	 	 
83	0	667576	3545464.1	 	 	 	 	 
84	0	667571	3545466.6	 	 	 	 	 
85	0	667566	3545469.1	 	 	 	 	 
86	0	667561	3545471.7	 	 	 	 	 
87	0	667556	3545474.2	 	 	 	 	 
88	0	667551	3545476.7	 	 	 	 	 
89	0	667546	3545479.2	 	 	 	 	 
90	0	667541	3545481.8	 	 	 	 	 
91	0	667536	3545484.3	 	 	 	 	 
92	0	667531	3545486.8	 	 	 	 	 
93	0	667526	3545489.3	 	 	 	 	 
94	0	667521	3545491.9	 	 	 	 	 
95	0	667516	3545494.4	 	 	 	 	 
96	0	667511	3545496.9	 	 	 	 	 
97	0	667506	3545499.4	 	 	 	 	 
98	0	667501	3545501.9	 	 	 	 	 
99	0	667496	3545504.5	 	 	 	 	 
100	0	667491	3545507	 	 	 	 	 
101	0	667486	3545509.5	 	 	 	 	 
102	0	667481	3545512	 	 	 	 	 
103	0	667476	3545514.6	 	 	 	 	 
104	0	667471	3545517.1	 	 	 	 	 
105	0	667466	3545519.6	 	 	 	 	 
106	0	667461	3545522.1	 	 	 	 	 
107	0	667456	3545524.7	 	 	 	 	 
108	0	667451	3545527.2	 	 	 	 	 
109	0	667446	3545529.7	 	 	 	 	 
110	0	667441	3545532.2	 	 	 	 	 
111	0	667436	3545534.8	 	 	 	 	 
112	0	667431	3545537.3	 	 	 	 	 
113	0	667426	3545539.8	 	 	 	 	 
114	0	667421	3545542.3	 	 	 	 	 
115	0	667416	3545544.8	 	 	 	 	 
116	0	667411	3545547.4	 	 	 	 	 
117	0	667406	3545549.9	 	 	 	 	 
118	0	667401	3545552.4	 	 	 	 	 
119	0	667396	3545554.9	 	 	 	 	 
120	0	667391	3545557.5	 	 	 	 	 
121	0	667386	3545560	 	 	 	 	 
122	0	667381	3545562.5	 	 	 	 	 
123	0	667376	3545565	 	 	 	 	 
124	0	667371	3545567.6	 	 	 	 	 
125	0	667366	3545570.1	 	 	 	 	 
126	0	667361	3545572.6	 	 	 	 	 
127	0	667356	3545575.1	 	 	 	 	 
128	0	667351	3545577.7	 	 	 	 	 
129	0	667346	3545580.2	 	 	 	 	 
130	0	667341	3545582.7	 	 	 	 	 
131	0	667336	3545585.2	 	 	 	 	 
132	0	667331	3545587.7	 	 	 	 	 
133	0	667326	3545590.3	 	 	 	 	 
134	0	667321	3545592.8	 	 	 	 	 
135	0	667316	3545595.3	 	 	 	 	 
136	0	667311	3545597.8	 	 	 	 	 
137	0	667306	3545600.4	 	 	 	 	 
138	0	667301	3545602.9	 	 	 	 	 
139	0	667296	3545605.4	 	 	 	 	 
140	0	667291	3545607.9	 	 	 	 	 
141	0	667286	3545610.5	 	 	 	 	 
142	0	667281	3545613	 	 	 	 	 
143	0	667276	3545615.5	 	 	 	 	 
144	0	667271	3545618	 	 	 	 	 
145	0	667266	3545620.6	 	 	 	 	 
146	0	667261	3545623.1	 	 	 	 	 
147	0	667256	3545625.6	 	 	 	 	 
148	0	667251	3545628.1	 	 	 	 	 
149	0	667246	3545630.7	 	 	 	 	 
150	0	667241	3545633.2	 	 	 	 	 
151	0	667236	3545635.7	 	 	 	 	 
152	0	667231	3545638.2	 	 	 	 	 
153	0	667226	3545640.7	 	 	 	 	 
154	0	667221	3545643.3	 	 	 	 	 
155	0	667216	3545645.8	 	 	 	 	 
156	0	667211	3545648.3	 	 	 	 	 
157	0	667206	3545650.8	 	 	 	 	 
158	0	667201	3545653.4	 	 	 	 	 
159	0	667196	3545655.9	 	 	 	 	 
160	0	667191	3545658.4	 	 	 	 	 
161	0	667186	3545660.9	 	 	 	 	 
162	0	667181	3545663.5	 	 	 	 	 
163	0	667176	3545666	 	 	 	 	 
164	0	667172	3545668	 	 	 	 	 
165	0	667167	3545671.1	 	 	 	 	 
166	0	667162	3545674.3	 	 	 	 	 
167	0	667157	3545677.4	 	 	 	 	 
168	0	667152	3545680.5	 	 	 	 	 
169	0	667147	3545683.6	 	 	 	 	 
170	0	667142	3545686.8	 	 	 	 	 
171	0	667137	3545689.9	 	 	 	 	 
172	0	667132	3545693	 	 	 	 	 
173	0	667127	3545696.2	 	 	 	 	 
174	0	667122	3545699.3	 	 	 	 	 
175	0	667117	3545702.4	 	 	 	 	 
176	0	667112	3545705.5	 	 	 	 	 
177	0	667107	3545708.7	 	 	 	 	 
178	0	667102	3545711.8	 	 	 	 	 
179	0	667097	3545714.9	 	 	 	 	 
180	0	667092	3545718.1	 	 	 	 	 
181	0	667087	3545721.2	 	 	 	 	 
182	0	667082	3545724.3	 	 	 	 	 
183	0	667077	3545727.4	 	 	 	 	 
184	0	667072	3545730.6	 	 	 	 	 
185	0	667067	3545733.7	 	 	 	 	 
186	0	667062	3545736.8	 	 	 	 	 
187	0	667057	3545740	 	 	 	 	 
188	0	667052	3545743.1	 	 	 	 	 
189	0	667047	3545746.2	 	 	 	 	 
190	0	667042	3545749.3	 	 	 	 	 
191	0	667037	3545752.5	 	 	 	 	 
192	0	667032	3545755.6	 	 	 	 	 
193	0	667027	3545758.7	 	 	 	 	 
194	0	667022	3545761.9	 	 	 	 	 
195	0	667017	3545765	 	 	 	 	 
196	0	667012	3545768.1	 	 	 	 	 
197	0	667007	3545771.2	 	 	 	 	 
198	0	667002	3545774.4	 	 	 	 	 
199	1	667001	3545775	 	 	 	 	 
200	1	667002.2	3545780	 	 	 	 	 
201	1	667003.4	3545785	 	 	 	 	 
202	1	667004.6	3545790	 	 	 	 	 
203	1	667005.8	3545795	 	 	 	 	 
204	1	667007	3545800	 	 	 	 	 
205	1	667008.2	3545805	 	 	 	 	 
206	1	667009.4	3545810	 	 	 	 	 
207	1	667010.6	3545815	 	 	 	 	 
208	1	667011.8	3545820	 	 	 	 	 
209	1	667013	3545825	 	 	 	 	 
210	1	667014.2	3545830	 	 	 	 	 
211	1	667015.4	3545835	 	 	 	 	 
212	1	667016.6	3545840	 	 	 	 	 
213	1	667017.8	3545845	 	 	 	 	 
214	1	667019	3545850	 	 	 	 	 
215	1	667020.2	3545855	 	 	 	 	 
216	1	667021.4	3545860	 	 	 	 	 
217	1	667022.6	3545865	 	 	 	 	 
218	1	667023.8	3545870	 	 	 	 	 
219	1	667025	3545875	 	 	 	 	 
220	1	667026.2	3545880	 	 	 	 	 
221	1	667027.4	3545885	 	 	 	 	 
222	1	667028.6	3545890	 	 	 	 	 
223	1	667029.8	3545895	 	 	 	 	 
224	1	667031	3545900	 	 	 	 	 
225	1	667032.2	3545905	 	 	 	 	 
226	1	667033.4	3545910	 	 	 	 	 
227	1	667034.6	3545915	 	 	 	 	 
228	1	667035.8	3545920	 	 	 	 	 
229	1	667037	3545925	 	 	 	 	 
230	1	667038.2	3545930	 	 	 	 	 
231	1	667039.4	3545935	 	 	 	 	 
232	1	667040.7	3545940	 	 	 	 	 
233	1	667041.9	3545945	 	 	 	 	 
234	1	667043.1	3545950	 	 	 	 	 
235	1	667044.3	3545955	 	 	 	 	 
236	1	667045.5	3545960	 	 	 	 	 
237	1	667046.7	3545965	 	 	 	 	 
238	1	667047.9	3545970	 	 	 	 	 
239	1	667049.1	3545975	 	 	 	 	 
240	1	667050.3	3545980	 	 	 	 	 
241	1	667051.5	3545985	 	 	 	 	 
242	1	667052.7	3545990	 	 	 	 	 
243	1	667053.9	3545995	 	 	 	 	 
244	1	667055.1	3546000	 	 	 	 	 
245	1	667056.3	3546005	 	 	 	 	 
246	1	667057.5	3546010	 	 	 	 	 
247	1	667058.7	3546015	 	 	 	 	 
248	1	667059.9	3546020	 	 	 	 	 
249	1	667061.1	3546025	 	 	 	 	 
250	1	667062.3	3546030	 	 	 	 	 
251	1	667063	3546033	 	 	 	 	 
252	1	667063.6	3546038	 	 	 	 	 
253	1	667064.3	3546043	 	 	 	 	 
254	1	667064.9	3546048	 	 	 	 	 
255	1	667065.6	3546053	 	 	 	 	 
256	1	667066.2	3546058	 	 	 	 	 
257	1	667066.9	3546063	 	 	 	 	 
258	1	667067.5	3546068	 	 	 	 	 
259	1	667068.2	3546073	 	 	 	 	 
260	1	667068.8	3546078	 	 	 	 	 
261	1	667069.5	3546083	 	 	 	 	 
262	1	667070.1	3546088	 	 	 	 	 
263	1	667070.8	3546093	 	 	 	 	 
264	1	667071.4	3546098	 	 	 	 	 
265	1	667072	3546103	 	 	 	 	 
266	1	667072.7	3546108	 	 	 	 	 
267	1	667073.3	3546113	 	 	 	 	 
268	1	667074	3546118	 	 	 	 	 
269	1	667074.6	3546123	 	 	 	 	 
270	1	667075.3	3546128	 	 	 	 	 
271	1	667075.9	3546133	 	 	 	 	 
272	1	667076.6	3546138	 	 	 	 	 
273	1	667077.2	3546143	 	 	 	 	 
274	1	667077.9	3546148	 	 	 	 	 
275	1	667078.5	3546153	 	 	 	 	 
276	1	667079.1	3546158	 	 	 	 	 
277	1	667079.8	3546163	 	 	 	 	 
278	1	667080.4	3546168	 	 	 	 	 
279	1	667081.1	3546173	 	 	 	 	 
280	1	667081.7	3546178	 	 	 	 	 
281	1	667082.4	3546183	 	 	 	 	 
282	1	667083	3546188	 	 	 	 	 
283	1	667083.7	3546193	 	 	 	 	 
284	1	667084.3	3546198	 	 	 	 	 
285	1	667085	3546203	 	 	 	 	 
286	1	667085.6	3546208	 	 	 	 	 
287	1	667086.3	3546213	 	 	 	 	 
288	1	667086.9	3546218	 	 	 	 	 
289	1	667087.5	3546223	 	 	 	 	 
290	1	667088.2	3546228	 	 	 	 	 
291	1	667088.8	3546233	 	 	 	 	 
292	1	667089.5	3546238	 	 	 	 	 
293	1	667090	3546242	 	 	 	 	 
294	1	667091.2	3546247	 	 	 	 	 
295	1	667092.3	3546252	 	 	 	 	 
296	1	667093.5	3546257	 	 	 	 	 
297	1	667094.7	3546262	 	 	 	 	 
298	1	667095.9	3546267	 	 	 	 	 
299	1	667097	3546272	 	 	 	 	 
300	1	667098.2	3546277	 	 	 	 	 
301	1	667099.4	3546282	 	 	 	 	 
302	1	667100.5	3546287	 	 	 	 	 
303	1	667101.7	3546292	 	 	 	 	 
304	1	667102.9	3546297	 	 	 	 	 
305	1	667104	3546302	 	 	 	 	 
306	1	667105.2	3546307	 	 	 	 	 
307	1	667106.4	3546312	 	 	 	 	 
308	1	667107.6	3546317	 	 	 	 	 
309	1	667108.7	3546322	 	 	 	 	 
310	1	667109.9	3546327	 	 	 	 	 
311	1	667111.1	3546332	 	 	 	 	 
312	1	667112.2	3546337	 	 	 	 	 
313	1	667113.4	3546342	 	 	 	 	 
314	1	667114.6	3546347	 	 	 	 	 
315	1	667115.8	3546352	 	 	 	 	 
316	1	667116.9	3546357	 	 	 	 	 
317	1	667118.1	3546362	 	 	 	 	 
318	1	667119.3	3546367	 	 	 	 	 
319	1	667120.4	3546372	 	 	 	 	 
320	1	667121.6	3546377	 	 	 	 	 
321	1	667122.8	3546382	 	 	 	 	 
322	1	667124	3546387	 	 	 	 	 
323	1	667125.1	3546392	 	 	 	 	 
324	1	667126.3	3546397	 	 	 	 	 
325	1	667127.5	3546402	 	 	 	 	 
326	1	667128.6	3546407	 	 	 	 	 
327	1	667129.8	3546412	 	 	 	 	 
328	1	667131	3546417	 	 	 	 	 
329	1	667132.1	3546422	 	 	 	 	 
330	1	667133.3	3546427	 	 	 	 	 
331	1	667134.5	3546432	 	 	 	 	 
332	1	667135.7	3546437	 	 	 	 	 
333	1	667136.8	3546442	 	 	 	 	 
334	1	667138	3546447	 	 	 	 	 
335	1	667139.2	3546452	 	 	 	 	 
336	1	667140.3	3546457	 	 	 	 	 
337	1	667141.5	3546462	 	 	 	 	 
338	1	667142.7	3546467	 	 	 	 	 
339	1	667143.9	3546472	 	 	 	 	 
340	1	667145	3546477	 	 	 	 	 
341	1	667146.2	3546482	 	 	 	 	 
342	1	667147.4	3546487	 	 	 	 	 
343	1	667148.5	3546492	 	 	 	 	 
344	1	667149.7	3546497	 	 	 	 	 
345	1	667150.9	3546502	 	 	 	 	 
346	1	667152.1	3546507	 	 	 	 	 
347	1	667153.2	3546512	 	 	 	 	 
348	1	667154.4	3546517	 	 	 	 	 
349	1	667155.6	3546522	 	 	 	 	 
350	1	667156.7	3546527	 	 	 	 	 
351	1	667157.9	3546532	 	 	 	 	 
352	1	667159.1	3546537	 	 	 	 	 
353	1	667160.2	3546542	 	 	 	 	 
354	1	667161.4	3546547	 	 	 	 	 
355	1	667162.6	3546552	 	 	 	 	 
356	1	667163.8	3546557	 	 	 	 	 
357	1	667164.9	3546562	 	 	 	 	 
358	1	667166.1	3546567	 	 	 	 	 
359	1	667167.3	3546572	 	 	 	 	 
360	1	667168.4	3546577	 	 	 	 	 
361	1	667169.6	3546582	 	 	 	 	 
362	1	667170.8	3546587	 	 	 	 	 
363	1	667172	3546592	 	 	 	 	 
364	1	667173.1	3546597	 	 	 	 	 
365	1	667174.3	3546602	 	 	 	 	 
366	1	667175.5	3546607	 	 	 	 	 
367	1	667176.6	3546612	 	 	 	 	 
368	1	667177.8	3546617	 	 	 	 	 
369	1	667179	3546622	 	 	 	 	 
370	1	667180.2	3546627	 	 	 	 	 
371	1	667181.3	3546632	 	 	 	 	 
372	1	667182.5	3546637	 	 	 	 	 
373	1	667183.7	3546642	 	 	 	 	 
374	1	667184.8	3546647	 	 	 	 	 
375	1	667186	3546652	 	 	 	 	 
376	1	667187.2	3546657	 	 	 	 	 
377	1	667188.3	3546662	 	 	 	 	 
378	1	667189.5	3546667	 	 	 	 	 
379	1	667190.7	3546672	 	 	 	 	 
380	1	667191.9	3546677	 	 	 	 	 
381	1	667193	3546682	 	 	 	 	 
382	1	667194.2	3546687	 	 	 	 	 
383	1	667195.4	3546692	 	 	 	 	 
384	1	667196.5	3546697	 	 	 	 	 
385	1	667197.7	3546702	 	 	 	 	 
386	1	667198.9	3546707	 	 	 	 	 
387	1	667200.1	3546712	 	 	 	 	 
388	1	667201.2	3546717	 	 	 	 	 
389	1	667202.4	3546722	 	 	 	 	 
390	1	667203.6	3546727	 	 	 	 	 
391	1	667204.7	3546732	 	 	 	 	 
392	1	667205.9	3546737	 	 	 	 	 
393	1	667207.1	3546742	 	 	 	 	 
394	1	667208.3	3546747	 	 	 	 	 
395	1	667209.4	3546752	 	 	 	 	 
396	1	667210.6	3546757	 	 	 	 	 
397	1	667211.8	3546762	 	 	 	 	 
398	1	667212.9	3546767	 	 	 	 	 
399	1	667214.1	3546772	 	 	 	 	 
400	1	667215.3	3546777	 	 	 	 	 
401	1	667216.4	3546782	 	 	 	 	 
402	1	667217.6	3546787	 	 	 	 	 
403	1	667218.8	3546792	 	 	 	 	 
404	1	667220	3546797	 	 	 	 	 
405	1	667221.1	3546802	 	 	 	 	 
406	1	667222.3	3546807	 	 	 	 	 
407	1	667223.5	3546812	 	 	 	 	 
408	1	667224.6	3546817	 	 	 	 	 
409	1	667225.8	3546822	 	 	 	 	 
410	1	667227	3546827	 	 	 	 	 
411	1	667228.2	3546832	 	 	 	 	 
412	1	667229.3	3546837	 	 	 	 	 
413	1	667230.5	3546842	 	 	 	 	 
414	1	667231.7	3546847	 	 	 	 	 
415	1	667232.8	3546852	 	 	 	 	 
416	1	667234	3546857	 	 	 	 	 
417	1	667235.2	3546862	 	 	 	 	 
418	1	667236.3	3546867	 	 	 	 	 
419	1	667237.5	3546872	 	 	 	 	 
420	1	667238.7	3546877	 	 	 	 	 
421	1	667239.9	3546882	 	 	 	 	 
422	1	667241	3546887	 	 	 	 	 
423	1	667242.2	3546892	 	 	 	 	 
424	1	667243.4	3546897	 	 	 	 	 
425	1	667244.5	3546902	 	 	 	 	 
426	1	667245.7	3546907	 	 	 	 	 
427	1	667246.9	3546912	 	 	 	 	 
428	1	667248.1	3546917	 	 	 	 	 
429	1	667249.2	3546922	 	 	 	 	 
430	1	667250.4	3546927	 	 	 	 	 
431	1	667251.6	3546932	 	 	 	 	 
432	1	667252.7	3546937	 	 	 	 	 
433	1	667253.9	3546942	 	 	 	 	 
434	1	667255.1	3546947	 	 	 	 	 
435	1	667256.3	3546952	 	 	 	 	 
436	1	667257.4	3546957	 	 	 	 	 
437	1	667258.6	3546962	 	 	 	 	 
438	1	667259.8	3546967	 	 	 	 	 
439	1	667262	3546968	 	 	 	 	 
440	1	667262	3546973	 	 	 	 	 
441	1	667262	3546978	 	 	 	 	 
442	1	667262	3546983	 	 	 	 	 
443	1	667262	3546988	 	 	 	 	 
444	1	667262	3546993	 	 	 	 	 
445	1	667262	3546998	 	 	 	 	 
446	1	667262	3547003	 	 	 	 	 
447	1	667262	3547008	 	 	 	 	 
448	1	667262	3547013	 	 	 	 	 
449	1	667262	3547018	 	 	 	 	 
450	1	667262	3547023	 	 	 	 	 
451	1	667262	3547028	 	 	 	 	 
452	1	667262	3547033	 	 	 	 	 
453	1	667262	3547038	 	 	 	 	 
454	1	667262	3547043	 	 	 	 	 
455	1	667262	3547048	 	 	 	 	 
456	1	667262	3547053	 	 	 	 	 
457	1	667262	3547058	 	 	 	 	 
458	1	667262	3547063	 	 	 	 	 
459	1	667262	3547068	 	 	 	 	 
460	1	667262	3547073	 	 	 	 	 
461	1	667262	3547078	 	 	 	 	 
462	1	667262	3547083	 	 	 	 	 
463	1	667262	3547088	 	 	 	 	 
464	1	667262	3547093	 	 	 	 	 
465	1	667262	3547098	 	 	 	 	 
466	1	667262	3547103	 	 	 	 	 
467	1	667262	3547108	 	 	 	 	 
468	1	667262	3547113	 	 	 	 	 
469	1	667262	3547118	 	 	 	 	 
470	1	667262	3547123	 	 	 	 	 
471	1	667262	3547128	 	 	 	 	 
472	1	667262	3547133	 	 	 	 	 
473	1	667262	3547138	 	 	 	 	 
474	1	667264	3547139	 	 	 	 	 
475	1	667266.3	3547144	 	 	 	 	 
476	1	667268.6	3547149	 	 	 	 	 
477	1	667271	3547154	 	 	 	 	 
478	1	667273.3	3547159	 	 	 	 	 
479	1	667275.6	3547164	 	 	 	 	 
480	1	667277.9	3547169	 	 	 	 	 
481	1	667280.2	3547174	 	 	 	 	 
482	1	667282.6	3547179	 	 	 	 	 
483	1	667284.9	3547184	 	 	 	 	 
484	1	667287.2	3547189	 	 	 	 	 
485	1	667289.5	3547194	 	 	 	 	 
486	1	667291.8	3547199	 	 	 	 	 
487	1	667294.1	3547204	 	 	 	 	 
488	1	667296	3547208	 	 	 	 	 
489	1	667297.4	3547213	 	 	 	 	 
490	1	667298.7	3547218	 	 	 	 	 
491	1	667300.1	3547223	 	 	 	 	 
492	1	667301.5	3547228	 	 	 	 	 
493	1	667302.9	3547233	 	 	 	 	 
494	1	667304.2	3547238	 	 	 	 	 
495	1	667305.6	3547243	 	 	 	 	 
496	1	667307	3547248	 	 	 	 	 
497	1	667308.4	3547253	 	 	 	 	 
498	1	667309.7	3547258	 	 	 	 	 
499	1	667311.1	3547263	 	 	 	 	 
500	1	667312.5	3547268	 	 	 	 	 
501	1	667313.8	3547273	 	 	 	 	 
502	1	667315.2	3547278	 	 	 	 	 
503	1	667316.6	3547283	 	 	 	 	 
504	1	667318	3547288	 	 	 	 	 
505	1	667319.3	3547293	 	 	 	 	 
506	1	667320.7	3547298	 	 	 	 	 
507	1	667322.1	3547303	 	 	 	 	 
508	1	667323.5	3547308	 	 	 	 	 
509	1	667324.8	3547313	 	 	 	 	 
510	1	667326.2	3547318	 	 	 	 	 
511	1	667327.6	3547323	 	 	 	 	 
512	1	667328.9	3547328	 	 	 	 	 
513	1	667330.3	3547333	 	 	 	 	 
514	1	667331.7	3547338	 	 	 	 	 
515	1	667333.1	3547343	 	 	 	 	 
516	1	667334.4	3547348	 	 	 	 	 
517	1	667335.8	3547353	 	 	 	 	 
518	1	667337.2	3547358	 	 	 	 	 
519	1	667338	3547361	 	 	 	 	 
520	1	667336.3	3547366	 	 	 	 	 
521	1	667334.6	3547371	 	 	 	 	 
522	1	667332.9	3547376	 	 	 	 	 
523	1	667331.2	3547381	 	 	 	 	 
524	1	667329.5	3547386	 	 	 	 	 
525	1	667327.8	3547391	 	 	 	 	 
526	1	667326.1	3547396	 	 	 	 	 
527	1	667324.4	3547401	 	 	 	 	 
528	1	667322.7	3547406	 	 	 	 	 
529	1	667321	3547411	 	 	 	 	 
530	1	667319.3	3547416	 	 	 	 	 
531	1	667317.7	3547421	 	 	 	 	 
532	1	667316	3547426	 	 	 	 	 
533	1	667314.3	3547431	 	 	 	 	 
534	1	667312.6	3547436	 	 	 	 	 
535	1	667310.9	3547441	 	 	 	 	 
536	1	667309.2	3547446	 	 	 	 	 
537	1	667307.5	3547451	 	 	 	 	 
538	1	667305.8	3547456	 	 	 	 	 
539	1	667304.1	3547461	 	 	 	 	 
540	1	667302.4	3547466	 	 	 	 	 
541	1	667300.7	3547471	 	 	 	 	 
542	1	667299	3547476	 	 	 	 	 
543	1	667295.4	3547481	 	 	 	 	 
544	1	667291.9	3547486	 	 	 	 	 
545	1	667288.3	3547491	 	 	 	 	 
546	1	667284.7	3547496	 	 	 	 	 
547	1	667281.2	3547501	 	 	 	 	 
548	1	667277.6	3547506	 	 	 	 	 
549	1	667274	3547511	 	 	 	 	 
550	1	667270.5	3547516	 	 	 	 	 
551	1	667266.9	3547521	 	 	 	 	 
552	1	667263.3	3547526	 	 	 	 	 
553	1	667259.8	3547531	 	 	 	 	 
554	1	667256.2	3547536	 	 	 	 	 
555	1	667252.6	3547541	 	 	 	 	 
556	1	667249.1	3547546	 	 	 	 	 
557	1	667245.5	3547551	 	 	 	 	 
558	1	667241.9	3547556	 	 	 	 	 
559	1	667238.4	3547561	 	 	 	 	 
560	1	667234.8	3547566	 	 	 	 	 
561	1	667231.2	3547571	 	 	 	 	 
562	1	667227.7	3547576	 	 	 	 	 
563	1	667224.1	3547581	 	 	 	 	 
564	1	667220.5	3547586	 	 	 	 	 
